		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010110111    5    1    2    1    2    1    2    1  6.482903 0.593305 SUCCESS  65
010111011    1    3    1    4    1    1    0    2  7.204461 0.514742 SUCCESS  66
010111111    4    2    3    1    0    2    3    5  7.644677 0.468925 SUCCESS  67
011000111    6    1    1    5    5    3    3    3 13.168899 0.106169 SUCCESS  68
011001111    5    0    1    1    1    6    3    3 13.576016 0.093508 SUCCESS  69
011010111    4    3    1    2    4    1    0    3  6.671567 0.572447 SUCCESS  70
011011111    3    2    4    3    3    2    2    2  1.776226 0.987120 SUCCESS  71
011101111    1    4    2    2    1    2    0    1  6.357126 0.607295 SUCCESS  72
011111111    3    2    1    1    4    2    0    2  5.635568 0.687978 SUCCESS  73
100000000    1    0    1    0    0    2    0    0 14.264475 0.075127 SUCCESS  74
100010000    1    3    1    1    2    1    0    1  7.015796 0.534929 SUCCESS  75
100100000    2    0    0    1    1    2    2    4  7.988907 0.434555 SUCCESS  76
100101000    2    4    4    1    2    2    2    0  5.761345 0.673945 SUCCESS  77
100110000    0    3    3    3    5    1    5    0 11.881348 0.156577 SUCCESS  78
100111000    2    3    3    1    2    2    0    3  4.003788 0.856782 SUCCESS  79
101000000    2    1    0    2    1    3    1    3  5.509792 0.701955 SUCCESS  80
101000100    2    3    2    1    0    3    0    2  6.357126 0.607295 SUCCESS  81
101001000    1    2    2    1    0    1    0    2  7.800242 0.453223 SUCCESS  82
101001100    2    4    2    3    3    4    2    1  3.470895 0.901437 SUCCESS  83
101010000    3    1    1    3    1    2    2    2  3.093566 0.928349 SUCCESS  84
101010100    2    1    6    1    2    0    0    3 12.414242 0.133656 SUCCESS  85
101011000    1    3    3    4    2    3    1    2  3.345118 0.910872 SUCCESS  86
101011100    4    3    1    1    3    5    0    3  8.492011 0.386941 SUCCESS  87
101100000    2    2    1    1    2    2    1    2  2.967790 0.936363 SUCCESS  88
101100100    1    0    1    0    1    2    1    2  8.584688 0.378532 SUCCESS  89
101101000    0    2    1    1    0    2    3    3  7.141573 0.521438 SUCCESS  90
101101100    2    1    3    1    1    4    4    3  5.039787 0.753315 SUCCESS  91
101110000    2    3    5    4    1    1    3    1  6.797343 0.558648 SUCCESS  92
101110100    1    1    2    3    1    4    1    1  5.572680 0.694975 SUCCESS  93
101111000    4    2    3    4    2    3    4    0  6.075785 0.638743 SUCCESS  94
101111100    1    0    1    1    4    1    2    1  7.926019 0.440730 SUCCESS  95
110000000    1    0    2    1    3    1    2    3  5.509792 0.701955 SUCCESS  96
110000010    2    2    4    4    0    2    1    2  5.761345 0.673945 SUCCESS  97
110000100    3    4    3    3    1    1    3    0  5.824233 0.666913 SUCCESS  98
110001000    1    2    3    1    2    1    0    0  7.863131 0.446953 SUCCESS  99
110001010    0    2    1    0    1    1    1    2  8.584688 0.378532 SUCCESS 100
110010000    2    0    5    2    1    3    2    2  6.608679 0.579380 SUCCESS 101
110010010    2    3    2    2    4    1    6    2  7.770453 0.456208 SUCCESS 102
110010100    1    2    3    2    2    1    0    1  5.446904 0.708915 SUCCESS 103
110011000    4    3    3    6    5    1    2    1 11.348454 0.182726 SUCCESS 104
110011010    1    2    7    1    1    1    2    1 13.324464 0.101163 SUCCESS 105
110100000    0    5    0    3    1    2    4    3 10.060903 0.260777 SUCCESS 106
110100010    1    2    2    3    1    6    1    2  8.366235 0.398537 SUCCESS 107
110100100    1    3    1    1    0    2    0    2  7.863131 0.446953 SUCCESS 108
110101000    1    4    2    2    2    3    1    1  4.003788 0.856782 SUCCESS 109
110101010    3    1    4    3    1    1    2    1  4.851122 0.773363 SUCCESS 110
110101100    0    2    2    3    2    3    1    1  4.725346 0.786488 SUCCESS 111
110110000    1    1    0    0    3    3    4    2  8.114683 0.422349 SUCCESS 112
110110010    1    2    2    0    0    1    1    2  7.800242 0.453223 SUCCESS 113
110110100    1    2    1    1    1    2    1    4  5.509792 0.701955 SUCCESS 114
110111000    3    2    1    3    1    1    3    0  5.572680 0.694975 SUCCESS 115
110111010    1    1    2    1    3    7    3    0 14.297574 0.074331 SUCCESS 116
110111100    3    2    3    3    2    3    2    1  1.650450 0.989919 SUCCESS 117
111000000    4    4    2    1    5    1    2    3  6.923119 0.544950 SUCCESS 118
111000010    5    3    3    5    2    3    2    2  6.264449 0.617636 SUCCESS 119
111000100    2    1    0    0    4    2    0    0 12.036913 0.149564 SUCCESS 120
111000110    2    2    0    5    1    2    4    2  7.518901 0.481816 SUCCESS 121
111001000    2    2    3    2    2    2    3    2  0.740228 0.999417 SUCCESS 122
111001010    1    1    3    3    3    3    0    3  4.914011 0.766726 SUCCESS 123
111001100    5    3    1    4    3    1    0    4  9.402234 0.309508 SUCCESS 124
111010000    3    2    1    1    1    2    2    2  3.030678 0.932418 SUCCESS 125
111010010    0    3    1    1    0    1    0    2 10.279357 0.245964 SUCCESS 126
