		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001001011    1    2    0    2    2    1    1    0  7.800242 0.453223 SUCCESS  33
001001101    0    1    0    2    1    0    1    0 12.632695 0.125128 SUCCESS  34
001001111    2    0    2    2    4    1    1    2  5.572680 0.694975 SUCCESS  35
001010011    0    0    0    1    1    1    1    1 11.785361 0.161041 SUCCESS  36
001010101    0    0    2    0    3    1    2    0 11.126691 0.194624 SUCCESS  37
001010111    2    4    2    0    4    1    4    1  7.518901 0.481816 SUCCESS  38
001011011    1    1    2    3    3    2    4    1  4.066676 0.851058 SUCCESS  39
001011101    6    0    2    2    3    2    3    0 10.908238 0.206953 SUCCESS  40
001011111    2    6    4    5    4    2    5    3 13.420451 0.098179 SUCCESS  41
001100101    0    1    1    0    0    0    2    0 14.264475 0.075127 SUCCESS  42
001100111    0    1    2    0    1    1    0    2 10.216469 0.250160 SUCCESS  43
001101011    2    1    0    3    1    2    1    1  6.231350 0.621335 SUCCESS  44
001101101    4    4    3    2    1    1    0    3  6.671567 0.572447 SUCCESS  45
001101111    4    2    9    1    2    5    6    3 28.735354 0.000353 FAILURE  46
001110101    6    4    1    2    1    4    4    2 10.438232 0.235604 SUCCESS  47
001110111    5    5    3    1    1    1    4    5 12.195788 0.142680 SUCCESS  48
001111011    3    7    3    7    3    9    1    3 37.460247 0.000009 FAILURE  49
001111101    5    3    6    3    2    7    2    6 22.929791 0.003456 FAILURE  50
001111111    7    8    6   11   11   11   10   15 212.173265 0.000000 FAILURE  51
010000011    0    0    1    0    0    0    0    0 18.312482 0.019002 SUCCESS  52
010000111    1    1    0    0    1    0    0    1 13.417141 0.098280 SUCCESS  53
010001011    0    0    0    1    0    0    0    0 18.312482 0.019002 SUCCESS  54
